epoch,train_mse,valid_mse
1,0.4771479666233063,0.42303094267845154
2,0.37467798590660095,1.59932279586792
3,1.4597736597061157,0.2057529240846634
4,0.18921159207820892,0.07489504665136337
5,0.04682706668972969,0.0705917626619339
6,0.0325796864926815,0.0603044293820858
7,0.03846599906682968,0.03939123824238777
8,0.03736048936843872,0.015180232003331184
9,0.01809716410934925,0.016491973772644997
10,0.016050128266215324,0.04348529875278473
11,0.040567733347415924,0.019231418147683144
12,0.01937509886920452,0.01948356255888939
13,0.02031225711107254,0.017637578770518303
14,0.02445276267826557,0.0067882477305829525
15,0.010667882859706879,0.009763980284333229
16,0.009165272116661072,0.008484052494168282
17,0.007893688045442104,0.0029198690317571163
18,0.00767596997320652,0.004961085971444845
19,0.006243486423045397,0.004011086653918028
20,0.005714745260775089,0.009786357171833515
21,0.006776923779398203,0.0074304379522800446
22,0.003487206995487213,0.00517526688054204
23,0.003535235533490777,0.006824182812124491
24,0.011527987197041512,0.005071563646197319
25,0.0038703519385308027,0.009408975951373577
26,0.007720535155385733,0.00821540504693985
27,0.0044787428341805935,0.004928236827254295
